"serialNumber","chassisNumber","vehicleNumber","customerId"
"607417-038-0690974",MAT627633SAE49820,UP20CW0247,"78212326"
"607417-042-0261687",MAT627633SLJ26084,"25BH1544S","78213385"
"607417-042-0320182",MAT627633SLJ26701,,"78271221"
"607417-037-0933622",MAT627633SLJ26120,GJ06RD9502,"78224283"
"607417-038-0731393",MAT627633SLK36777,MH28CC4482,"78291831"
"607417-042-0336415",MAT627633SLN38564,,"78332771"
"607417-042-0263304",MAT627635SLJ26535,,"78268351"
"607417-042-0319685",MAT627645SAKA8371,,"78249129"
"607417-042-0319747",MAT631777SWB07060,,"78286590"
"607417-042-0182881",MAT631878SWG17006,MH29CJ5783,"78218868"
"607417-038-0325486",MAT629304KKA01047,UP53DF1920,"78346651"
"607417-042-0319734",MAT631892SWK37056,,"78271932"
"607417-037-0933489",MAT631899SWK31557,GJ06RE0428,"78259395"
"607417-042-0223257",MAT631915SWJ31243,,"78258281"
"607417-042-0544360",MAT631938SWN39071,,"78345945"
"607417-037-0933484",MAT632367SLH02354,GJ06RE1216,"78329587"
"607417-042-0223129",MAT634127SPKD0878,PB02FF4124,"78279976"
"607417-042-0222596",MAT634127SPKD5645,,"78213619"
"607417-042-0336433",MAT634127SPKE0078,,"78347290"
"607417-038-0731388",MAT634127SPKD9638,MH37AH5075,"78292112"
"607417-042-0337179",MAT634127SPKE3509,,"78274594"
"607417-042-0335332",MAT634127SPNE7043,,"78325879"
"607417-042-0235939",MAT634129SPHB4665,,"78259593"
"607417-042-0335326",MAT634131SPE79219,,"78323073"
"607417-040-0599650",MAT634131SPKD1615,HP85AA0712,"78213872"
"607417-042-0263377",MAT634131SPKD3071,,"78230166"
"607417-042-0263454",MAT634131SPKD3167,,"78257733"
"607417-042-0263273",MAT634131SPKD3068,HP07E0866,"78240419"
"607417-042-0335489",MAT634132SPG94042,,"78261540"
"607417-035-0660979",MAT634132SPHA7772,,"78282893"
"607417-042-0235921",MAT634132SPF85627,UK07HE6834,"78217536"
"607417-042-0182879",MAT634132SPG99639,MH29CJ5498,"78217316"
"607417-042-0262542",MAT634132SPJC7526,UP65FV7408,"78209243"
"607417-042-0081587",MAT634132SPJC8754,GJ27EG9161,"78221663"
"607417-042-0240143",MAT634132SPJC8212,UP70HS9507,"78243939"
"607417-042-0235981",MAT634132SPKD5748,UK15E5678,"78325378"
"607417-037-0933639",MAT634132SPKD5343,GJ06RE0972,"78331448"
"607417-042-0261696",MAT634132SPKD8557,,"78281859"
"607417-038-0731288",MAT634132SPKD6935,MH49CS2872,"78273649"
"607417-042-0182865",MAT634132SPKD6934,"25BH4481Q","78234301"
"607417-042-0383909",MAT634132SPKD9654,,"78349743"
"607417-042-0319706",MAT634132SPKD9704,,"78254953"
"607417-042-0335464",MAT634132SPKD9507,UK04AR7175,"78229180"
"607417-035-0660998",MAT634132SPKE1587,MP21ZH8497,"78236023"
"607417-042-0335327",MAT634132SPKE44534,UK04AR7310,"78323219"
"607417-042-0319928",MAT634132SPNE5633,UK06BP2666,"78334225"
"607417-042-0336429",MAT634132SPKE4391,HP36G3174,"78346697"
"607417-038-0731467",MAT634132SPKE4618,MH29CJ6606,"78311292"
"607417-042-0320345",MAT634132SPNE5641,,"78325618"
"607417-038-0731296",MAT634132SPNE7699,MH49CS3259,"78288045"
"607417-037-0933483",MAT634132SPNE7817,GJ06RE0914,"78329735"
"607417-042-0383886",MAT634132SPNE8883,UP70HW3872,"78340251"
"607417-038-0731465",MAT634132SPNE8787,MH29CJ6816,"78304496"
"607417-042-0163166",MAT634132SPNE9852,MP04YW8782,"78305913"
"607417-042-0336438",MAT634132SPNF2625,HP16AA4489,"78354415"
"607417-042-0335336",MAT634132SPNF2276,,"78326356"
"607417-038-0731413",MAT634132SPNF4406,MH30BW9448,"78344379"
"607417-042-0239668",MAT634136SPKD3309,,"78222290"
"607417-038-0731390",MAT634136SPKE4365,MH30BW8674,"78291618"
"607417-037-0933638",MAT634136SPNF1367,GJ06RE1512,"78343391"
"607417-042-0320293",MAT634136SPNF0963,UK14N6024,"78329718"
"607417-042-0324978",MAT634138SPNE8824,,"78356785"
"607417-042-0235898",MAT634141SPD63979,UK07HF4521,"78217479"
"607417-042-0355177",MAT634140SPNF0857,JK08R2124,"78346259"
"607417-035-0660981",MAT634139SPNE0312,,"78309338"
"607417-042-0320201",MAT634132SPKD3882,UK07HF8990,"78290616"
"607417-042-0335493",MAT634132SPKD7671,UK04AR5950,"78263022"
"607417-042-0223130",MAT634132SPNE5837,PB02FF1309,"78326061"
"607417-042-0235890",MAT634141SPDUXM80911,,"78303826"
"607417-042-0225738",MAT833009SPKW2768,BR06EG1739,"78287515"
"607417-042-0235943",MAT634127SPJB7262,UK11C0052,"78265998"
"607417-042-0319836",MAT867013SPKD3657,UK06BP6152,"78248992"
"607417-038-0731397",MAT634141SPKD4482,MH30BW8174,"78292595"
"607417-042-0383865",MAT635334SAKA7953,,"78316170"
"607417-042-0383885",MAT635334SAKA8603,,"78340156"
"607417-042-0320163",MAT634128SPD58451,UK09C6692,"78258763"
"607417-042-0335483",MAT626077SKK79347,UK04AR5723,"78258248"
"607417-042-0335508",MAT634127SPKE1217,UK04AR8289,"78265483"
"607417-042-0263458",MAT635347SAKA1204,,"78257936"
"607417-042-0335509",MAT627598SAKA6095,UK04AR8287,"78265682"
"607417-040-0599655",MAT635353SAJ96791,,"78273303"
"607417-042-0316961",MAT635353SAKA3031,,"78214246"
"607417-042-0337208",MAT635354SAK98358,,"78305824"
"607417-042-0387012",MAT635355SAKA0286,,"78305472"
"607417-038-0686718",MAT805022SFK10820,TN32BK2920,"78222409"
"607417-042-0337188",MAT637631SLK36324,,"78289488"
"607417-042-0236534",MAT804043S8K19521,,"78242441"
"607417-038-0690953",MAT634127SPKD7209,UP22BH7163,"78228804"
"607417-042-0337241",MAT846022SWK37330,,"78347376"
"607417-042-0210350",MALBJ512LSM384047,UK06BQ2893,"78271647"
"607417-042-0354268",MAT846032SWN38777,MH03EX5490,"78317296"
"607417-042-0382778",MEXKPCPC9SG022425,HR20BD1540,"78295037"
"607417-038-0693019",MAT805022SFK11067,TN50BS0924,"78255832"
"607417-038-0693036",MAT535407SYH31224,TN18BX9147,"78241592"
"607417-042-0263347",MAT846046SWJ29335,,"78286637"
"607417-038-0731295",MAT627615SLK36048,MH37AH5035,"78288418"
"607417-038-0731304",MAT833026SPHW0720,MH49CS3410,"78338400"
"607417-038-0731382",MAT627611SLK37054,MH29CJ6534,"78286031"
"607417-038-0731383",MAT627611SLK35690,MH37AH5391,"78296382"
"607417-038-0731392",MAT632518SLN10041,MH30BW8784,"78291920"
"607417-038-0731444",MAT627611SLK37068,MH37AH5326,"78293785"
"607417-038-0731449",MAT627611SLK36586,MH37AH5131,"78294462"
"607417-038-0731456",MAT631893SWG18102,MH37AH4705,"78303006"
"607417-040-0599661",MAT635353SAJ97417,HP17G3535,"78356803"
"607417-042-0182857",MAT631894SWG18412,MH31GA7216,"78218064"
"607417-042-0182863",MAT632399SLK09182,MH40DE2682,"78234055"
"607417-042-0182868",MAT632347SPE72861,MH31GA8146,"78238760"
"607417-042-0182876",MAT627611SAG71611,MH29CJ5439,"78216535"
"607417-042-0182885",MAT627596SLH24373,MH29CJ5925,"78227759"
"607417-042-0182895",MAT627639SLK34520,MH29CJ6134,"78235816"
"607417-038-0727871",MA3ZFDFSKSK316579,KA28AB8401,"78335972"
"607417-042-0186246",MAT535405SYG28062,KL02BZ7263,"78233006"
"607417-042-0186247",MAT535406SYK38963,KL01DH2089,"78239483"
"607417-042-0314810",MA1TA2YS2S2J91023,UK16G5001,"78274717"
"607417-042-0315577",MZBFB812LSN537308,"25BH3562R","78290571"
"607417-042-0223126",MAT634127SPKD1421,PB02FE7669,"78279769"
"607417-042-0334172",MA3ZFDFSKSJ292018,UP51BX1167,"78228895"
"607417-042-0334796",MA3BNC62SSJB20190,MH14MV3162,"78261277"
"607417-042-0238624",MA1RM2TVXS6J23978,KL78B0574,"78238640"
"607417-042-0235940",MAT627631SLG20634,"25BH8831Q","78265749"
"607417-042-0236485",MAT535505SYK37195,PY01DF0925,"78255916"
"607417-042-0236532",MAT535505SYF23457,TN91AC2761,"77686268"
"607417-042-0236477",MAT848051SJK14479,TN91AC3093,"78322648"
"607417-042-0236549",MAT535405SYN42873,TN91AC3145,"78333724"
"607417-042-0236550",MAT535407SYG26771,TN31CP9435,"78322764"
"607417-042-0236554",MAT559060SVN34818,PY05AB1460,"78290461"
"607417-042-0335324",MAT846072SWN39026,,"78321961"
"607417-042-0263309",MAT846077SWK33303,,"78271442"
"607417-038-0686887",MAT854011SJF05158,TN22EF6683,"78232078"
"607417-038-0692998",MAT854018SJH09606,,"78221879"
"607417-042-0240147",MAT855056SLK21443,,"78276567"
"607417-042-0337231",MAT855062SLN21966,,"78325274"
"607417-042-0263272",MAT855066SLJ20297,,"78240371"
"607417-042-0383894",MAT867013SPKD8891,,"78344454"
"607417-042-0238360",MAT559051SZG20058,TN12BQ1611,"78260575"
"607417-042-0238367",MAT559060SZJ27362,TN14AS1135,"78288332"
"607417-042-0239783",MAT867013SPNF2411,,"78339886"
"607417-042-0238368",MAT535407SYJ35258,TN02CE7148,"78288113"
"607417-042-0320217",MAT867015SPJB9672,,"78294233"
"607417-037-0933623",MAT867015SPJC9297,GJ06RD9962,"78224404"
"607417-042-0238625",MA1RE2TTKS6J32503,KL13BA9841,"78238713"
"607417-042-0239342",MA3BNC62SSKB46326,MH37AH5676,"78341488"
"607417-042-0239772",MAT627637SAG68188,UP25EP9355,"78347999"
"607417-042-0239795",MAT627639SLN37970,UP24BP5459,"78355572"
"607417-042-0240080",MAT855062SLE13287,UP70HU2899,"78207955"
"607417-042-0240103",MAT867015SPJC2173,UP70HS4278,"78223315"
"607417-042-0240104",MAT867015SPJB5852,UP70HU8341,"78223394"
"607417-042-0240134",MAT634128SPE68107,UP70HV4032,"78235244"
"607417-042-0240137",MAT867015SPHB3836,UP70HU9063,"78237364"
"607417-042-0240146",MAT627615SLK35011,UP53FN1860,"78244531"
"607417-042-0240158",MAT855305SLE14627,UP70HS9844,"78255117"
"607417-042-0316972",MAT867015SPKD6605,,"78284934"
"607417-042-0316963",MAT867015SPKD7538,,"78233287"
"607417-042-0337162",MAT867015SPKE0885,,"78298894"
"607417-042-0383872",MAT867015SPKE3269,,"78329407"
"607417-042-0261690",MAT627631SLG20940,UK05F3627,"78217070"
"607417-042-0167279",MA1NA2XZXS6F67368,UP20CX4607,"78278434"
"607417-042-0237880",MA1NA2XZXS6D71627,,"78266406"
"607417-042-0314835",MA1NA2XZXS6J71280,,"78300029"
"607417-042-0184910",MA1NA2XZXS6K62629,,"78262095"
"607417-042-0263283",MAT855056SLE15404,HP37J9897,"78241043"
"607417-042-0263375",MAT627596SLK30684,HP12T2022,"78229998"
